# METADATA
Projekt: 
Sensor: 
Bearbeiter: 
Datum: 2026-04-07
StandpunktNr: STP1
InstrumentenHoehe: 1.50
StandpunktCode: 030
---
# DATENTYP
Messdaten
# DATEN
PunktNr; HZ_gon; V_gon; Strecke_m; Zielhoehe_m; Code; Zeitstempel
1; 306.075; 24.914; 103.438; 0.001; 030; 2026-04-07 14:25
2; 324.779; 16.894; 94.313; 0.001; 030; 2026-04-07 14:25
3; 347.816; 26.324; 103.813; 0.001; 030; 2026-04-07 14:25
4; 357.785; 41.802; 102.44; 0.001; 030; 2026-04-07 14:25
5; 246.653; 11.832; 84.647; 0.001; 030; 2026-04-07 14:25
6; 375.358; 38.936; 103.475; 0.001; 030; 2026-04-07 14:25
7; 171.088; 41.213; 98.029; 0.001; 030; 2026-04-07 14:25
8; 276.993; 20.389; 104.065; 0.001; 030; 2026-04-07 14:25
9; 286.699; 39.541; 102.962; 0.001; 030; 2026-04-07 14:25
10; 182.235; 19.996; 97.144; 0.001; 030; 2026-04-07 14:25
11; 203.349; 22.15; 97.453; 0.001; 030; 2026-04-07 14:25
12; 180.073; 26.994; 95.915; 0.001; 030; 2026-04-07 14:25
13; 141.309; 45.938; 94.299; 0.001; 030; 2026-04-07 14:25
14; 385.159; 59.777; 99.536; 0.001; 030; 2026-04-07 14:25
15; 4.495; 62.357; 97.562; 0.001; 030; 2026-04-07 14:25
16; 6.451; 44.65; 97.56; 0.001; 030; 2026-04-07 14:25
17; 34.055; 2.464; 142.641; 0.001; 030; 2026-04-07 14:25
19; 341.73; 1.384; 125.952; 0.001; 030; 2026-04-07 14:25
20; 341.872; 2.117; 159.259; 0.001; 030; 2026-04-07 14:25
