# METADATA
Projekt: 
Sensor: 
Bearbeiter: 
Datum: 2026-04-07
---
# DATENTYP
Koordinaten
# DATEN
PunktNr; X; Y; Z; Code
1; 803213.06; 5400842.75; 10.000; 030
2; 803222.27; 5400846.75; 10.000; 030
3; 803218.64; 5400858.32; 10.000; 030
4; 803212.12; 5400873.31; 10.000; 030
5; 803230.17; 5400831.82; 10.000; 030
6; 803223.18; 5400876.39; 10.000; 030
7; 803255.95; 5400803.32; 10.000; 030
8; 803218.77; 5400833.19; 10.000; 030
9; 803199.86; 5400831.46; 10.000; 030
10; 803243.37; 5400821.16; 10.000; 030
11; 803236.69; 5400818.26; 10.000; 030
12; 803246.17; 5400814.72; 10.000; 030
13; 803274.37; 5400812.66; 10.000; 030
14; 803224.03; 5400898.58; 10.000; 030
16; 803242.37; 5400884.80; 10.000; 030
17; 803238.83; 5400842.03; 10.000; 030
19; 803236.86; 5400841.12; 10.000; 030
20; 803236.86; 5400841.12; 10.000; 030
